team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Fenerbahçe,Fenerbahçe,2018/2019,Turkey,34,17,17,0,11,8,3,13,7,6,10,2,8,1.35,1.82,0.88,6,7,12,6,44,44,0,88,52,36,30,14,22,22,8,-8,70,51,110,70,70,70,7,3,4,21,14,7,9,1,8,10,7,3,185,91,94,102,56,46,55,56,54,376,204,172,143,80,63,233,124,109,473,244,229,20,18,2,22,11,11,-2,7,-9,9,8,1,16,6,10,9,3,6,1.26,1.76,0.76,2.59,3.06,2.12,1.29,1.76,0.82,1.29,1.29,1.29,1.24,1.71,0.76,0.59,1.06,0.12,0.65,0.65,0.65,31,25,17,10,4,1,16,16,10,7,3,0,15,9,7,3,1,1,3,9,17,24,30,33,1,1,7,10,14,17,2,8,10,14,16,16,91,74,50,29,12,3,94,94,59,41,18,0,88,53,41,18,6,6,9,26,50,71,88,97,6,6,41,59,82,100,12,47,59,82,94,94,22,12,7,14,9,5,8,3,2,65,35,21,82,53,29,47,18,12,32,47,18,0,21,18,24,62,82,41,26,6,47,29,41,18,17,7,10,50,41,59,21,6,15,62,35,88,8,7,1,24,41,6,26,47,6,47,35,59,26,18,35,5.44,5.35,5.53,3,3.29,2.71,91,79,62,50,35,28,15,12,1.51,1.61,1.40,1.33,1.21,1.44,79,2,6,6,3,3,3,6,8,7,2,5,4,6,8,4,5,4,6,38,41,35,29,12,47,3
Beşiktaş,Beşiktaş,2018/2019,Turkey,34,17,17,0,19,12,7,8,3,5,7,2,5,1.91,2.29,1.53,3,2,2,3,72,47,25,119,58,61,37,35,21,26,16,9,42,41,44,65,73,59,5,4,1,26,13,13,4,0,4,22,13,9,215,116,99,96,43,53,56,57,55,393,213,180,184,99,85,209,114,95,500,267,233,32,20,12,17,9,8,15,11,4,15,9,6,12,6,6,7,2,5,1.68,1.94,1.41,3.5,3.41,3.59,2.12,2.18,2.06,1.38,1.24,1.53,1.44,1.71,1.18,0.94,1.18,0.71,0.5,0.53,0.47,33,30,23,15,10,3,17,15,12,7,6,1,16,15,11,8,4,2,1,4,11,19,24,31,0,2,5,10,11,16,1,2,6,9,13,15,97,88,68,44,29,9,100,88,71,41,35,6,94,88,65,47,24,12,3,12,32,56,71,91,0,12,29,59,65,94,6,12,35,53,76,88,26,14,7,14,9,4,12,5,3,76,41,21,82,53,24,71,29,18,56,71,41,7,15,24,6,76,76,76,12,0,24,65,76,53,20,10,10,59,59,59,14,4,10,41,24,59,8,6,2,24,35,12,44,53,35,35,35,35,21,12,29,6.32,6.82,5.82,2.82,2.53,3.12,97,82,74,62,56,38,32,21,1.64,1.76,1.52,1.37,1.30,1.43,129,5,6,4,10,10,9,5,11,12,0,7,1,3,9,8,7,5,7,24,18,29,21,12,29,15
Trabzonspor,Trabzonspor,2018/2019,Turkey,34,17,17,0,18,12,6,9,2,7,7,3,4,1.85,2.24,1.47,4,3,4,4,64,46,18,110,59,51,39,25,20,26,19,-1,48,39,61,67,76,59,7,4,3,23,12,11,5,2,3,19,9,10,177,95,82,68,40,28,53,55,51,445,251,194,200,112,88,245,139,106,454,241,213,28,14,14,21,10,11,7,4,3,12,6,6,14,8,6,8,3,5,1.47,1.53,1.41,3.24,3.47,3,1.88,2.29,1.47,1.35,1.18,1.53,1.44,1.41,1.47,0.82,0.82,0.82,0.62,0.59,0.65,33,29,22,16,7,3,16,15,13,7,5,3,17,14,9,9,2,0,1,5,12,18,27,31,1,2,4,10,12,14,0,3,8,8,15,17,97,85,65,47,21,9,94,88,76,41,29,18,100,82,53,53,12,0,3,15,35,53,79,91,6,12,24,59,71,82,0,18,47,47,88,100,24,16,7,11,8,4,13,8,3,71,47,21,65,47,24,76,47,18,53,71,35,18,21,24,18,68,71,65,15,12,18,56,53,59,19,10,9,56,59,53,15,8,7,44,47,41,10,5,5,29,29,29,35,35,35,41,47,35,24,18,29,5.21,5.59,4.82,2,2.35,1.65,88,68,59,53,38,32,24,9,1.74,1.94,1.54,1.48,1.34,1.62,94,3,6,11,2,9,3,8,14,8,3,3,4,5,8,4,6,4,9,26,12,41,21,18,24,6
Galatasaray,Galatasaray,2018/2019,Turkey,34,17,17,0,20,13,7,9,4,5,5,0,5,2.03,2.53,1.53,1,1,3,1,72,36,36,108,59,49,47,25,12,24,35,1,42,33,61,85,127,64,12,8,4,18,9,9,5,0,5,19,13,6,171,102,69,90,42,48,58,60,56,369,219,150,164,105,59,205,114,91,389,200,189,27,17,10,20,5,15,7,12,-5,13,10,3,14,6,8,7,1,6,1.56,2.12,1,3.18,3.47,2.88,2.12,2.76,1.47,1.06,0.71,1.41,1.38,1.29,1.47,0.79,1,0.59,0.59,0.29,0.88,33,27,19,15,9,4,17,14,11,9,5,3,16,13,8,6,4,1,1,7,15,19,25,30,0,3,6,8,12,14,1,4,9,11,13,16,97,79,56,44,26,12,100,82,65,53,29,18,94,76,47,35,24,6,3,21,44,56,74,88,0,18,35,47,71,82,6,24,53,65,76,94,24,11,9,12,4,4,12,7,5,71,32,26,71,24,24,71,41,29,59,76,41,32,35,47,24,53,53,53,15,0,29,56,76,35,19,13,6,56,76,35,16,6,10,47,35,59,9,3,6,26,18,35,38,59,18,41,35,47,21,6,35,5.03,6.00,4.06,2.65,2.47,2.82,79,68,62,53,44,35,18,12,1.55,1.77,1.34,1.32,1.23,1.42,91,3,4,9,4,11,13,10,6,12,3,7,2,1,7,1,4,8,3,26,24,29,15,0,29,12
Alanyaspor,Alanyaspor,2018/2019,Turkey,34,17,17,0,12,9,3,8,4,4,14,4,10,1.29,1.82,0.76,9,6,16,9,37,43,-6,80,36,44,23,14,13,30,10,-16,83,67,110,71,118,51,10,8,2,14,6,8,11,4,7,17,12,5,175,102,73,85,47,38,48,49,47,380,221,159,154,93,61,226,128,98,532,276,256,18,10,8,18,5,13,0,5,-5,11,8,3,14,5,9,9,4,5,1.38,1.71,1.06,2.35,2.12,2.59,1.09,1.35,0.82,1.26,0.76,1.76,1.06,0.88,1.24,0.53,0.59,0.47,0.53,0.29,0.76,33,25,11,5,4,2,16,10,5,2,2,1,17,15,6,3,2,1,1,9,23,29,30,32,1,7,12,15,15,16,0,2,11,14,15,16,97,74,32,15,12,6,94,59,29,12,12,6,100,88,35,18,12,6,3,26,68,85,88,94,6,41,71,88,88,94,0,12,65,82,88,94,24,10,2,12,2,1,12,8,1,71,29,6,71,12,6,71,47,6,35,53,18,32,29,47,12,41,35,47,32,24,41,50,71,29,21,13,8,62,76,47,17,8,9,50,47,53,6,1,5,18,6,29,32,47,18,41,29,53,26,24,29,5.15,6.00,4.29,2.5,2.76,2.24,76,65,53,47,35,15,15,12,1.53,1.77,1.30,1.31,1.04,1.57,59,4,3,2,1,9,6,3,5,4,4,4,1,5,6,7,3,4,9,24,24,24,41,24,59,6
Bursaspor,Bursaspor,2018/2019,Turkey,34,17,17,0,7,4,3,16,8,8,11,5,6,1.09,1.18,1,16,17,8,16,28,37,-9,65,30,35,14,14,16,21,-2,-7,110,110,110,83,96,73,10,7,3,16,7,9,15,8,7,11,5,6,180,94,86,79,36,43,52,54,49,354,199,155,127,63,64,227,136,91,495,266,229,17,9,8,18,8,10,-1,1,-2,8,4,4,17,10,7,9,3,6,1.21,1.29,1.12,1.91,1.76,2.06,0.82,0.82,0.82,1.09,0.94,1.24,1.03,1,1.06,0.5,0.53,0.47,0.53,0.47,0.59,27,23,8,3,3,1,12,10,4,2,2,0,15,13,4,1,1,1,7,11,26,31,31,33,5,7,13,15,15,17,2,4,13,16,16,16,79,68,24,9,9,3,71,59,24,12,12,0,88,76,24,6,6,6,21,32,76,91,91,97,29,41,76,88,88,100,12,24,76,94,94,94,21,11,3,10,6,1,11,5,2,62,32,9,59,35,6,65,29,12,21,24,18,7,29,41,18,47,41,53,44,47,41,32,29,35,20,10,10,59,59,59,20,10,10,59,59,59,7,4,3,21,24,18,24,24,24,50,59,41,26,18,35,5.29,5.53,5.06,2.32,2.12,2.53,85,68,47,35,26,18,12,12,1.42,1.56,1.28,1.06,0.92,1.19,50,2,6,3,2,4,1,3,0,7,3,3,4,5,6,4,4,4,4,47,47,47,32,29,35,12
Çaykur Rizespor,Rizespor,2018/2019,Turkey,34,17,17,0,9,5,4,14,7,7,11,5,6,1.21,1.29,1.12,10,15,7,10,48,50,-2,98,51,47,27,21,24,26,3,-5,64,57,73,61,64,59,10,6,4,22,11,11,4,2,2,19,8,11,147,79,68,84,38,46,51,53,48,351,203,148,145,83,62,206,120,86,479,238,241,19,11,8,19,10,9,0,1,-1,13,6,7,8,5,3,13,6,7,1.38,1.35,1.41,2.88,3,2.76,1.41,1.59,1.24,1.47,1.41,1.53,1.12,1.24,1,0.56,0.65,0.47,0.56,0.59,0.53,32,28,16,11,7,1,15,14,9,5,4,1,17,14,7,6,3,0,2,6,18,23,27,33,2,3,8,12,13,16,0,3,10,11,14,17,94,82,47,32,21,3,88,82,53,29,24,6,100,82,41,35,18,0,6,18,53,68,79,97,12,18,47,71,76,94,0,18,59,65,82,100,27,6,4,13,4,3,14,2,1,79,18,12,76,24,18,82,12,6,26,29,24,9,29,35,24,65,65,65,12,12,12,56,47,65,20,10,10,59,59,59,17,8,9,50,47,53,4,3,1,12,18,6,38,35,41,24,29,18,38,35,41,4.32,4.65,4.00,2.47,2.24,2.71,88,79,76,56,47,32,24,15,1.43,1.61,1.25,1.65,1.53,1.78,85,3,2,7,3,5,7,9,6,6,3,6,4,3,3,3,6,9,13,41,41,41,32,29,35,12
Kayserispor,Kayserispor,2018/2019,Turkey,34,17,17,0,10,6,4,11,6,5,13,5,8,1.21,1.41,1,12,11,9,12,35,50,-15,85,37,48,17,18,20,30,-3,-12,87,90,85,61,76,51,9,5,4,15,7,8,13,6,7,13,7,6,143,78,65,93,46,47,49,51,46,349,182,167,153,80,73,196,102,94,433,223,210,12,4,8,27,10,17,-15,-6,-9,5,3,2,12,7,5,17,7,10,0.79,0.94,0.65,2.5,2.18,2.82,1.03,1,1.06,1.47,1.18,1.76,1.15,0.82,1.47,0.35,0.24,0.47,0.79,0.59,1,31,27,14,9,3,1,16,14,5,2,0,0,15,13,9,7,3,1,3,7,20,25,31,33,1,3,12,15,17,17,2,4,8,10,14,16,91,79,41,26,9,3,94,82,29,12,0,0,88,76,53,41,18,6,9,21,59,74,91,97,6,18,71,88,100,100,12,24,47,59,82,94,25,10,3,11,3,0,14,7,3,74,29,9,65,18,0,82,41,18,29,35,24,9,26,29,24,44,41,47,38,35,41,38,41,35,14,9,5,41,53,29,24,13,11,71,76,65,5,1,4,15,6,24,15,18,12,35,41,29,50,41,59,4.21,4.59,3.82,2.74,2.71,2.76,97,85,59,41,32,21,15,15,1.40,1.49,1.31,1.50,1.40,1.60,71,1,5,2,3,2,5,7,6,4,0,10,6,5,6,3,3,6,11,32,35,29,38,29,47,9
Konyaspor,Konyaspor,2018/2019,Turkey,34,17,17,0,9,5,4,17,8,9,8,4,4,1.29,1.35,1.24,8,12,6,8,40,38,2,78,37,41,20,20,17,21,3,-1,76,76,76,80,90,73,11,5,6,17,8,9,12,6,6,14,9,5,148,80,68,94,43,51,46,50,43,278,153,125,121,68,53,157,85,72,459,217,242,20,9,11,13,5,8,7,4,3,11,5,6,19,11,8,4,1,3,1.53,1.53,1.53,2.29,2.18,2.41,1.18,1.18,1.18,1.12,1,1.24,0.97,0.82,1.12,0.59,0.53,0.65,0.38,0.29,0.47,28,24,10,8,6,2,15,12,4,4,2,0,13,12,6,4,4,2,6,10,24,26,28,32,2,5,13,13,15,17,4,5,11,13,13,15,82,71,29,24,18,6,88,71,24,24,12,0,76,71,35,24,24,12,18,29,71,76,82,94,12,29,76,76,88,100,24,29,65,76,76,88,18,10,5,8,4,2,10,6,3,53,29,15,47,24,12,59,35,18,26,29,24,6,32,29,35,50,47,53,35,35,35,41,53,29,23,12,11,68,71,65,19,10,9,56,59,53,8,4,4,24,24,24,32,29,35,56,65,47,12,6,18,4.35,4.71,4.00,2.76,2.53,3.00,74,68,62,59,44,28,24,12,1.21,1.33,1.09,1.43,1.23,1.63,53,1,5,4,5,7,5,1,4,8,2,2,2,5,4,5,7,9,2,50,47,53,24,24,24,9
Antalyaspor,Antalyaspor,2018/2019,Turkey,34,17,17,0,13,6,7,6,5,1,15,6,9,1.32,1.35,1.29,7,13,5,7,39,55,-16,94,44,50,22,17,22,33,0,-16,78,70,90,56,70,46,9,6,3,16,8,8,11,5,6,15,8,7,128,77,51,90,42,48,44,47,42,287,141,146,124,66,58,163,75,88,435,226,209,27,12,15,26,13,13,1,-1,2,12,6,6,9,5,4,13,6,7,1.32,1.35,1.29,2.76,2.59,2.94,1.15,1.29,1,1.62,1.29,1.94,1.56,1.47,1.65,0.79,0.71,0.88,0.76,0.76,0.76,32,24,17,9,7,3,15,10,8,3,3,3,17,14,9,6,4,0,2,10,17,25,27,31,2,7,9,14,14,14,0,3,8,11,13,17,94,71,50,26,21,9,88,59,47,18,18,18,100,82,53,35,24,0,6,29,50,74,79,91,12,41,53,82,82,82,0,18,47,65,76,100,29,15,6,13,6,4,16,9,2,85,44,18,76,35,24,94,53,12,38,35,41,16,26,35,18,47,47,47,32,29,35,44,47,41,15,9,6,44,53,35,15,8,7,44,47,41,9,4,5,26,24,29,35,35,35,26,29,24,38,35,41,3.76,4.53,3.00,2.65,2.47,2.82,85,82,65,53,35,28,21,12,1.18,1.22,1.15,1.64,1.55,1.73,76,3,7,4,7,8,1,3,1,5,3,7,6,7,4,6,8,5,9,18,29,6,44,35,53,9
