team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Fenerbahçe,Fenerbahçe,2019/2020,Turkey,34,17,17,0,15,11,4,8,3,5,11,3,8,1.56,2.12,1,7,4,12,7,58,46,12,104,63,41,41,17,22,24,19,-7,53,37,90,67,70,64,5,2,3,24,14,10,7,1,6,17,11,6,174,98,76,95,46,49,61,60,63,494,282,212,192,117,75,302,165,137,467,240,227,27,21,6,21,12,9,6,9,-3,9,7,2,17,7,10,8,3,5,1.29,1.65,0.94,3.06,3.71,2.41,1.71,2.41,1,1.35,1.29,1.41,1.41,1.94,0.88,0.79,1.24,0.35,0.62,0.71,0.53,32,29,22,13,5,2,17,16,13,9,5,2,15,13,9,4,0,0,2,5,12,21,29,32,0,1,4,8,12,15,2,4,8,13,17,17,94,85,65,38,15,6,100,94,76,53,29,12,88,76,53,24,0,0,6,15,35,62,85,94,0,6,24,47,71,88,12,24,47,76,100,100,24,15,7,14,11,6,10,4,1,71,44,21,82,65,35,59,24,6,44,65,24,23,15,12,18,71,82,59,21,6,35,50,65,35,15,6,9,44,35,53,16,5,11,47,29,65,13,9,4,38,53,24,26,41,12,50,41,59,24,18,29,5.12,5.76,4.47,2.79,2.71,2.88,76,62,56,35,26,21,18,6,1.86,2.08,1.64,1.20,1.18,1.22,79,3,6,8,7,3,5,4,6,16,4,5,2,5,6,9,5,5,5,24,18,29,32,18,47,3
Beşiktaş,Beşiktaş,2019/2020,Turkey,34,17,17,0,19,11,8,5,3,2,10,3,7,1.82,2.12,1.53,3,3,3,3,59,40,19,99,49,50,34,25,15,25,19,0,52,45,61,76,102,61,12,7,5,19,9,10,5,1,4,16,10,6,209,117,92,93,49,44,61,62,60,422,234,188,176,94,82,246,140,106,431,216,215,16,9,7,20,9,11,-4,0,-4,6,4,2,16,7,9,12,6,6,1,1.12,0.88,2.91,2.88,2.94,1.74,2,1.47,1.18,0.88,1.47,1.06,1.06,1.06,0.47,0.53,0.41,0.59,0.53,0.65,32,27,22,10,7,1,17,15,10,4,3,0,15,12,12,6,4,1,2,7,12,24,27,33,0,2,7,13,14,17,2,5,5,11,13,16,94,79,65,29,21,3,100,88,59,24,18,0,88,71,71,35,24,6,6,21,35,71,79,97,0,12,41,76,82,100,12,29,29,65,76,94,20,11,5,10,5,3,10,6,2,59,32,15,59,29,18,59,35,12,56,65,47,20,35,41,29,56,53,59,15,6,24,47,59,35,20,11,9,59,65,53,22,11,11,65,65,65,6,2,4,18,12,24,18,24,12,47,41,53,35,35,35,6.15,6.88,5.41,2.74,2.88,2.59,85,74,68,53,50,38,28,21,1.74,1.89,1.60,1.28,1.17,1.39,91,4,2,2,4,6,11,10,9,11,3,1,7,6,4,8,1,2,8,15,18,12,29,18,41,12
Trabzonspor,Trabzonspor,2019/2020,Turkey,34,17,17,0,18,9,9,11,5,6,5,3,2,1.91,1.88,1.94,2,7,1,2,76,42,34,118,66,52,43,33,23,19,20,14,40,36,46,73,67,80,5,2,3,28,14,14,1,1,0,27,12,15,176,91,85,80,38,42,51,52,50,432,240,192,184,100,84,248,140,108,443,204,239,36,20,16,14,7,7,22,13,9,19,10,9,12,5,7,3,2,1,2.03,2.06,2,3.47,3.88,3.06,2.24,2.53,1.94,1.24,1.35,1.12,1.47,1.59,1.35,1.06,1.18,0.94,0.41,0.41,0.41,34,31,24,15,6,4,17,15,12,8,6,4,17,16,12,7,0,0,0,3,10,19,28,30,0,2,5,9,11,13,0,1,5,10,17,17,100,91,71,44,18,12,100,88,71,47,35,24,100,94,71,41,0,0,0,9,29,56,82,88,0,12,29,53,65,76,0,6,29,59,100,100,28,15,6,14,9,4,14,6,2,82,44,18,82,53,24,82,35,12,53,53,53,2,15,12,18,82,82,82,3,6,0,79,71,88,20,10,10,59,59,59,9,5,4,26,29,24,11,5,6,32,29,35,56,59,53,35,29,41,9,12,6,5.18,5.35,5.00,2.35,2.24,2.47,88,82,79,56,38,26,24,24,1.69,1.83,1.54,1.65,1.51,1.79,100,10,7,8,5,9,7,9,7,14,2,2,1,3,7,6,4,2,15,32,29,35,15,18,12,12
Galatasaray,Galatasaray,2019/2020,Turkey,34,17,17,0,15,10,5,11,5,6,8,2,6,1.65,2.06,1.24,6,5,7,6,55,37,18,92,47,45,32,23,15,22,17,1,56,48,67,83,102,70,12,8,4,17,8,9,8,3,5,16,12,4,184,88,96,90,42,48,60,60,60,414,208,206,159,82,77,255,126,129,444,240,204,30,17,13,10,2,8,20,15,5,15,10,5,14,6,8,5,1,4,1.74,2.12,1.35,2.71,2.76,2.65,1.62,1.88,1.35,1.09,0.88,1.29,1.18,1.12,1.24,0.88,1,0.76,0.29,0.12,0.47,31,25,17,12,6,1,15,11,9,7,4,1,16,14,8,5,2,0,3,9,17,22,28,33,2,6,8,10,13,16,1,3,9,12,15,17,91,74,50,35,18,3,88,65,53,41,24,6,94,82,47,29,12,0,9,26,50,65,82,97,12,35,47,59,76,94,6,18,53,71,88,100,22,13,5,11,6,2,11,7,3,65,38,15,65,35,12,65,41,18,44,59,29,18,35,47,24,50,47,53,24,18,29,47,71,24,25,15,10,74,88,59,16,7,9,47,41,53,5,1,4,15,6,24,44,59,29,41,35,47,15,6,24,5.41,5.18,5.65,2.65,2.47,2.82,94,79,71,50,47,35,32,26,1.67,1.71,1.63,1.37,1.28,1.45,53,4,4,9,8,5,5,6,3,11,2,2,1,1,5,3,7,4,12,32,29,35,24,12,35,18
Alanyaspor,Alanyaspor,2019/2020,Turkey,34,17,17,0,16,10,6,9,4,5,9,3,6,1.68,2,1.35,5,6,5,5,61,37,24,98,51,47,36,25,15,22,21,3,50,42,61,83,102,70,6,5,1,20,10,10,10,4,6,18,9,9,187,94,93,75,30,45,49,49,48,442,238,204,191,105,86,251,133,118,456,216,240,26,14,12,13,6,7,13,8,5,14,7,7,14,9,5,6,1,5,1.65,1.76,1.53,2.88,3,2.76,1.79,2.12,1.47,1.09,0.88,1.29,1.15,1.18,1.12,0.76,0.82,0.71,0.38,0.35,0.41,32,23,16,12,10,4,15,11,10,7,5,2,17,12,6,5,5,2,2,11,18,22,24,30,2,6,7,10,12,15,0,5,11,12,12,15,94,68,47,35,29,12,88,65,59,41,29,12,100,71,35,29,29,12,6,32,53,65,71,88,12,35,41,59,71,88,0,29,65,71,71,88,24,11,4,12,7,1,12,4,3,71,32,12,71,41,6,71,24,18,47,59,35,19,18,29,6,59,59,59,29,24,35,53,53,53,22,11,11,65,65,65,16,6,10,47,35,59,6,5,1,18,29,6,41,41,41,41,53,29,18,6,29,5.50,5.53,5.47,2.21,1.76,2.65,85,74,65,56,38,28,21,15,1.75,1.86,1.63,1.30,1.19,1.40,82,1,3,5,7,12,4,9,5,15,4,3,2,2,4,4,8,3,7,26,24,29,26,18,35,12
Çaykur Rizespor,Rizespor,2019/2020,Turkey,34,17,17,0,10,8,2,5,3,2,19,6,13,1.03,1.59,0.47,15,8,17,15,38,57,-19,95,46,49,26,12,20,37,6,-25,80,59,127,54,76,41,8,6,2,17,10,7,10,2,8,14,9,5,138,70,68,83,43,40,48,48,47,335,192,143,135,84,51,200,108,92,492,268,224,17,13,4,23,12,11,-6,1,-7,9,6,3,13,6,7,12,5,7,1.18,1.41,0.94,2.79,2.71,2.88,1.12,1.53,0.71,1.68,1.18,2.18,1.18,1.47,0.88,0.5,0.76,0.24,0.68,0.71,0.65,33,29,17,8,4,2,16,15,11,3,1,0,17,14,6,5,3,2,1,5,17,26,30,32,1,2,6,14,16,17,0,3,11,12,14,15,97,85,50,24,12,6,94,88,65,18,6,0,100,82,35,29,18,12,3,15,50,76,88,94,6,12,35,82,94,100,0,18,65,71,82,88,24,12,4,14,8,3,10,4,1,71,35,12,82,47,18,59,24,6,29,47,12,34,24,35,12,50,59,41,29,12,47,41,53,29,18,8,10,53,47,59,20,7,13,59,41,76,6,5,1,18,29,6,26,35,18,38,35,41,35,29,41,4.06,4.12,4.00,2.44,2.53,2.35,79,65,62,53,38,32,21,6,1.35,1.53,1.17,1.65,1.56,1.74,82,3,2,4,6,2,7,5,4,5,2,11,5,4,1,6,4,10,14,15,18,12,56,35,76,3
Kayserispor,Kayserispor,2019/2020,Turkey,34,17,17,0,8,6,2,8,6,2,18,5,13,0.94,1.41,0.47,18,12,18,18,40,72,-32,112,47,65,23,17,24,48,-1,-31,76,67,90,42,64,32,6,4,2,23,12,11,5,1,4,14,10,4,142,79,63,95,58,37,49,49,48,347,203,144,150,87,63,197,116,81,510,272,238,16,11,5,27,7,20,-11,4,-15,7,6,1,15,8,7,12,3,9,1.06,1.53,0.59,3.29,2.76,3.82,1.18,1.35,1,2.12,1.41,2.82,1.26,1.06,1.47,0.47,0.65,0.29,0.79,0.41,1.18,34,28,21,15,9,3,17,13,8,6,3,0,17,15,13,9,6,3,0,6,13,19,25,31,0,4,9,11,14,17,0,2,4,8,11,14,100,82,62,44,26,9,100,76,47,35,18,0,100,88,76,53,35,18,0,18,38,56,74,91,0,24,53,65,82,100,0,12,24,47,65,82,24,13,6,11,5,2,13,8,4,71,38,18,65,29,12,76,47,24,24,35,12,24,18,24,12,68,71,65,15,6,24,41,59,24,17,12,5,50,71,29,19,7,12,56,41,71,8,4,4,24,24,24,21,35,6,44,47,41,35,18,53,4.18,4.65,3.71,2.79,3.41,2.18,74,68,59,53,53,41,41,32,1.36,1.54,1.18,1.93,1.82,2.04,88,2,1,2,4,8,5,3,2,13,9,6,4,2,10,2,10,6,23,24,35,12,53,29,76,21
Konyaspor,Konyaspor,2019/2020,Turkey,34,17,17,0,8,4,4,12,7,5,14,6,8,1.06,1.12,1,12,15,13,12,36,52,-16,88,38,50,16,20,22,30,-6,-10,85,96,76,59,70,51,9,6,3,18,7,11,12,8,4,12,5,7,129,74,55,87,44,43,50,51,48,338,187,151,125,68,57,213,119,94,381,206,175,22,11,11,21,9,12,1,2,-1,9,5,4,17,8,9,8,4,4,1.29,1.35,1.24,2.59,2.24,2.94,1.06,0.94,1.18,1.53,1.29,1.76,1.26,1.18,1.35,0.65,0.65,0.65,0.62,0.53,0.71,29,22,16,11,5,3,13,9,7,5,2,1,16,13,9,6,3,2,5,12,18,23,29,31,4,8,10,12,15,16,1,4,8,11,14,15,85,65,47,32,15,9,76,53,41,29,12,6,94,76,53,35,18,12,15,35,53,68,85,91,24,47,59,71,88,94,6,24,47,65,82,88,21,13,6,11,6,2,10,7,4,62,38,18,65,35,12,59,41,24,24,24,24,3,26,35,18,53,41,65,35,47,24,35,29,41,18,9,9,53,53,53,19,10,9,56,59,53,10,4,6,29,24,35,26,29,24,50,47,53,24,24,24,3.79,4.35,3.24,2.56,2.59,2.53,76,68,53,38,35,24,12,12,1.32,1.45,1.19,1.49,1.16,1.82,79,2,6,2,3,9,2,3,1,8,5,4,4,5,3,5,4,10,12,35,41,29,41,35,47,3
Antalyaspor,Antalyaspor,2019/2020,Turkey,34,17,17,0,11,5,6,12,6,6,11,6,5,1.32,1.24,1.41,9,14,4,9,41,52,-11,93,51,42,22,19,29,23,-7,-4,74,70,80,59,53,67,9,4,5,17,9,8,10,5,5,16,8,8,198,113,85,89,41,48,46,49,43,393,218,175,149,78,71,244,140,104,494,244,250,17,7,10,25,17,8,-8,-10,2,10,5,5,14,5,9,10,7,3,1.29,1.18,1.41,2.74,3,2.47,1.21,1.29,1.12,1.53,1.71,1.35,1.24,1.41,1.06,0.5,0.41,0.59,0.74,1,0.47,32,26,20,12,2,1,16,14,11,8,1,1,16,12,9,4,1,0,2,8,14,22,32,33,1,3,6,9,16,16,1,5,8,13,16,17,94,76,59,35,6,3,94,82,65,47,6,6,94,71,53,24,6,0,6,24,41,65,94,97,6,18,35,53,94,94,6,29,47,76,94,100,23,11,5,13,5,3,10,6,2,68,32,15,76,29,18,59,35,12,32,29,35,-3,26,24,29,50,53,47,29,29,29,47,47,47,21,9,12,62,53,71,19,10,9,56,59,53,5,2,3,15,12,18,29,29,29,41,29,53,29,41,18,5.82,6.65,5.00,2.62,2.41,2.82,91,88,76,62,44,41,35,24,1.55,1.70,1.40,1.52,1.25,1.80,76,5,4,4,3,2,6,3,3,11,4,4,5,6,7,10,4,6,6,35,35,35,32,35,29,15
İstanbul Başakşehir FK,İstanbul Başakşehir,2019/2020,Turkey,34,17,17,0,20,12,8,9,4,5,5,1,4,2.03,2.35,1.71,1,1,2,1,65,34,31,99,51,48,38,27,13,21,25,6,47,40,57,90,118,73,10,6,4,22,11,11,3,0,3,26,15,11,175,90,85,72,29,43,51,51,52,433,216,217,174,93,81,259,123,136,452,229,223,22,16,6,11,2,9,11,14,-3,11,8,3,18,8,10,5,1,4,1.5,1.88,1.12,2.91,3,2.82,1.91,2.24,1.59,1,0.76,1.24,0.97,1.06,0.88,0.65,0.94,0.35,0.32,0.12,0.53,33,30,18,9,6,2,17,15,9,6,3,1,16,15,9,3,3,1,1,4,16,25,28,32,0,2,8,11,14,16,1,2,8,14,14,16,97,88,53,26,18,6,100,88,53,35,18,6,94,88,53,18,18,6,3,12,47,74,82,94,0,12,47,65,82,94,6,12,47,82,82,94,18,8,4,10,4,2,8,4,2,53,24,12,59,24,12,47,24,12,59,71,47,21,29,35,24,65,65,65,9,0,18,76,88,65,26,15,11,76,88,65,20,8,12,59,47,71,4,1,3,12,6,18,32,47,18,53,47,59,15,6,24,5.15,5.29,5.00,2.12,1.71,2.53,91,82,71,50,41,26,26,3,1.65,1.67,1.64,1.48,1.49,1.48,79,7,4,5,4,5,9,8,14,9,1,2,4,3,1,2,9,4,8,26,24,29,15,6,24,3
