team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Fenerbahçe,Fenerbahçe,2023/2024,Turkey,38,19,19,0,31,15,16,6,3,3,1,1,0,2.61,2.53,2.68,2,2,1,2,99,31,68,130,79,51,59,40,20,11,39,29,34,29,43,110,86,155,17,5,12,21,14,7,3,1,2,26,11,15,229,120,109,99,43,56,57,60,54,582,298,284,305,155,150,277,143,134,506,265,241,45,27,18,13,8,5,32,19,13,20,11,9,12,4,8,6,4,2,1.89,1.95,1.84,3.42,4.16,2.68,2.61,3.11,2.11,0.82,1.05,0.58,1.53,1.84,1.21,1.18,1.42,0.95,0.34,0.42,0.26,35,30,25,18,13,6,18,18,17,11,9,4,17,12,8,7,4,2,3,8,13,20,25,32,1,1,2,8,10,15,2,7,11,12,15,17,92,79,66,47,34,16,95,95,89,58,47,21,89,63,42,37,21,11,8,21,34,53,66,84,5,5,11,42,53,79,11,37,58,63,79,89,29,17,8,17,10,6,12,7,2,76,45,21,89,53,32,63,37,11,82,79,84,-5,45,26,63,55,74,37,8,5,11,68,58,79,25,11,14,66,58,74,15,6,9,39,32,47,7,4,3,18,21,16,53,58,47,32,21,42,16,21,11,6.03,6.32,5.74,2.61,2.26,2.95,79,63,53,28,24,24,13,8,1.98,2.02,1.93,0.93,0.90,0.95,84,10,11,3,8,20,8,13,10,16,1,2,4,3,6,4,4,3,4,16,16,16,3,5,0,3
Beşiktaş,Beşiktaş,2023/2024,Turkey,38,19,19,0,16,10,6,8,4,4,14,5,9,1.47,1.79,1.16,5,6,8,5,52,47,5,99,48,51,29,23,19,28,10,-5,66,59,74,73,90,61,14,9,5,19,9,10,7,2,5,20,11,9,203,111,92,99,52,47,55,55,55,413,241,172,217,123,94,196,118,78,509,261,248,19,11,8,20,8,12,-1,3,-4,12,6,6,14,10,4,12,3,9,1.32,1.47,1.16,2.61,2.53,2.68,1.37,1.53,1.21,1.24,1,1.47,1.03,1,1.05,0.5,0.58,0.42,0.53,0.42,0.63,36,32,18,9,3,1,18,16,8,5,1,0,18,16,10,4,2,1,2,6,20,29,35,37,1,3,11,14,18,19,1,3,9,15,17,18,95,84,47,24,8,3,95,84,42,26,5,0,95,84,53,21,11,5,5,16,53,76,92,97,5,16,58,74,95,100,5,16,47,79,89,95,29,10,0,13,6,0,16,4,0,76,26,0,68,32,0,84,21,0,42,53,32,16,37,47,26,50,47,53,18,11,26,53,58,47,21,12,9,55,63,47,21,9,12,55,47,63,5,4,1,13,21,5,32,32,32,37,53,21,32,16,47,5.34,5.84,4.84,2.61,2.74,2.47,84,76,66,55,34,26,24,11,1.46,1.68,1.24,1.25,1.11,1.38,53,4,5,3,2,9,4,10,6,9,9,1,6,2,5,3,7,5,9,21,21,21,37,26,47,5
Trabzonspor,Trabzonspor,2023/2024,Turkey,38,19,19,0,21,12,9,4,1,3,13,6,7,1.76,1.95,1.58,3,4,3,3,68,51,17,119,63,56,38,30,25,26,13,4,50,45,57,67,68,66,10,6,4,22,11,11,7,2,5,21,10,11,189,126,63,65,33,32,53,55,51,430,246,184,211,121,90,219,125,94,452,241,211,27,13,14,22,11,11,5,2,3,15,7,8,13,7,6,10,5,5,1.53,1.47,1.58,3.13,3.32,2.95,1.79,2,1.58,1.34,1.32,1.37,1.29,1.26,1.32,0.71,0.68,0.74,0.58,0.58,0.58,37,28,22,15,11,6,19,14,12,7,7,4,18,14,10,8,4,2,1,10,16,23,27,32,0,5,7,12,12,15,1,5,9,11,15,17,97,74,58,39,29,16,100,74,63,37,37,21,95,74,53,42,21,11,3,26,42,61,71,84,0,26,37,63,63,79,5,26,47,58,79,89,29,14,4,14,9,1,15,5,3,76,37,11,74,47,5,79,26,16,55,63,47,7,26,32,21,58,58,58,18,11,26,55,53,58,23,11,12,61,58,63,18,10,8,47,53,42,6,3,3,16,16,16,39,37,42,34,37,32,26,26,26,4.97,6.63,3.32,1.71,1.74,1.68,74,68,63,53,32,26,16,16,1.44,1.65,1.23,1.36,1.29,1.44,82,6,4,7,4,12,6,11,8,10,2,8,5,4,4,2,7,9,10,11,5,16,34,32,37,13
Galatasaray,Galatasaray,2023/2024,Turkey,38,19,19,0,33,18,15,3,0,3,2,1,1,2.68,2.84,2.53,1,1,2,1,92,26,66,118,66,52,51,41,15,11,36,30,37,34,42,132,114,155,18,6,12,19,12,7,3,1,2,30,15,15,263,125,138,67,35,32,61,61,61,604,327,277,298,156,142,306,171,135,525,269,256,41,26,15,8,5,3,33,21,12,23,14,9,14,4,10,1,1,0,2.18,2.42,1.95,3.11,3.47,2.74,2.42,2.68,2.16,0.68,0.79,0.58,1.29,1.63,0.95,1.08,1.37,0.79,0.21,0.26,0.16,36,30,24,12,7,5,19,16,14,7,4,3,17,14,10,5,3,2,2,8,14,26,31,33,0,3,5,12,15,16,2,5,9,14,16,17,95,79,63,32,18,13,100,84,74,37,21,16,89,74,53,26,16,11,5,21,37,68,82,87,0,16,26,63,79,84,11,26,47,74,84,89,28,14,5,16,9,4,12,5,1,74,37,13,84,47,21,63,26,5,87,95,79,-3,47,32,63,50,63,37,8,5,11,79,79,79,30,14,16,79,74,84,11,4,7,29,21,37,7,4,3,18,21,16,61,74,47,37,21,53,3,5,0,6.92,6.58,7.26,1.76,1.84,1.68,84,79,61,61,55,37,26,18,1.97,2.12,1.82,1.13,1.04,1.23,84,5,7,10,11,10,10,13,7,19,0,1,2,4,3,6,3,4,3,8,0,16,5,5,5,18
Alanyaspor,Alanyaspor,2023/2024,Turkey,38,19,19,0,12,7,5,16,8,8,10,4,6,1.37,1.53,1.21,8,12,7,8,53,50,3,103,58,45,32,21,26,24,6,-3,65,54,81,68,66,71,9,4,5,22,12,10,10,4,6,21,12,9,162,83,79,91,47,44,53,54,51,396,212,184,190,102,88,206,110,96,403,217,186,24,16,8,15,5,10,9,11,-2,13,9,4,17,8,9,8,2,6,1.47,1.84,1.11,2.71,3.05,2.37,1.39,1.68,1.11,1.32,1.37,1.26,1.03,1.11,0.95,0.63,0.84,0.42,0.39,0.26,0.53,35,30,19,12,4,3,18,16,11,7,3,3,17,14,8,5,1,0,3,8,19,26,34,35,1,3,8,12,16,16,2,5,11,14,18,19,92,79,50,32,11,8,95,84,58,37,16,16,89,74,42,26,5,0,8,21,50,68,89,92,5,16,42,63,84,84,11,26,58,74,95,100,23,12,4,11,7,3,12,5,1,61,32,11,58,37,16,63,26,5,32,37,26,9,24,21,26,58,63,53,26,21,32,55,63,47,26,15,11,68,79,58,22,10,12,58,53,63,5,2,3,13,11,16,34,47,21,45,42,47,21,11,32,4.26,4.37,4.16,2.39,2.47,2.32,82,71,68,47,28,28,11,5,1.34,1.45,1.24,1.42,1.40,1.43,53,6,6,5,5,4,2,5,5,15,3,0,2,4,8,9,8,5,11,42,42,42,26,21,32,3
Çaykur Rizespor,Rizespor,2023/2024,Turkey,38,19,19,0,14,11,3,8,5,3,16,3,13,1.32,2,0.63,9,3,17,9,48,58,-10,106,43,63,28,20,15,43,13,-23,71,61,86,59,114,40,13,11,2,16,6,10,13,5,8,15,10,5,173,96,77,94,49,45,48,47,49,400,214,186,192,107,85,208,107,101,473,252,221,21,13,8,23,6,17,-2,7,-9,10,7,3,15,11,4,13,1,12,1.18,1.68,0.68,2.79,2.26,3.32,1.26,1.47,1.05,1.53,0.79,2.26,1.16,1,1.32,0.55,0.68,0.42,0.61,0.32,0.89,34,27,21,14,6,2,16,10,8,6,2,1,18,17,13,8,4,1,4,11,17,24,32,36,3,9,11,13,17,18,1,2,6,11,15,18,89,71,55,37,16,5,84,53,42,32,11,5,95,89,68,42,21,5,11,29,45,63,84,95,16,47,58,68,89,95,5,11,32,58,79,95,27,10,3,10,5,2,17,5,1,71,26,8,53,26,11,89,26,5,37,58,16,33,34,58,11,42,32,53,34,26,42,39,53,26,20,15,5,53,79,26,23,10,13,61,53,68,6,3,3,16,16,16,26,37,16,39,58,21,34,5,63,4.55,5.05,4.05,2.47,2.58,2.37,74,63,57,47,34,21,11,8,1.33,1.42,1.23,1.61,1.55,1.67,53,3,5,2,4,7,5,7,3,12,8,4,3,5,7,6,9,5,11,21,26,16,42,16,68,5
Kayserispor,Kayserispor,2023/2024,Turkey,38,19,19,0,11,6,5,12,8,4,15,5,10,1.18,1.37,1,14,16,10,11,44,57,-13,101,48,53,25,19,23,34,2,-15,78,68,90,60,74,50,8,6,2,22,11,11,12,5,7,15,7,8,161,96,65,88,44,44,52,54,50,397,212,185,191,97,94,206,115,91,485,229,256,20,9,11,23,12,11,-3,-3,0,8,4,4,20,9,11,10,6,4,1.16,1.11,1.21,2.66,2.53,2.79,1.16,1.32,1,1.5,1.21,1.79,1.13,1.11,1.16,0.53,0.47,0.58,0.61,0.63,0.58,34,30,19,9,5,2,16,14,8,6,2,1,18,16,11,3,3,1,4,8,19,29,33,36,3,5,11,13,17,18,1,3,8,16,16,18,89,79,50,24,13,5,84,74,42,32,11,5,95,84,58,16,16,5,11,21,50,76,87,95,16,26,58,68,89,95,5,16,42,84,84,95,24,13,4,13,6,2,11,7,2,63,34,11,68,32,11,58,37,11,29,32,26,17,21,32,11,58,58,58,32,26,37,39,37,42,20,9,11,53,47,58,22,11,11,58,58,58,10,5,5,26,26,26,21,21,21,53,47,58,26,32,21,4.24,5.05,3.42,2.32,2.32,2.32,79,71,63,57,34,32,24,8,1.32,1.41,1.22,1.54,1.27,1.81,79,3,4,3,5,8,4,6,4,7,5,1,6,5,10,11,6,3,10,32,42,21,39,26,53,3
Konyaspor,Konyaspor,2023/2024,Turkey,38,19,19,0,9,6,3,14,5,9,15,8,7,1.08,1.21,0.95,16,18,11,16,40,53,-13,93,46,47,23,17,23,30,0,-13,86,74,101,65,74,57,12,7,5,19,9,10,10,4,6,17,11,6,160,77,83,78,45,33,47,47,47,371,197,174,171,90,81,200,107,93,402,186,216,19,10,9,18,7,11,1,3,-2,10,6,4,20,7,13,8,6,2,1.32,1.32,1.32,2.45,2.42,2.47,1.05,1.21,0.89,1.39,1.21,1.58,0.97,0.89,1.05,0.5,0.53,0.47,0.47,0.37,0.58,35,31,14,8,2,1,18,16,7,4,1,0,17,15,7,4,1,1,3,7,24,30,36,37,1,3,12,15,18,19,2,4,12,15,18,18,92,82,37,21,5,3,95,84,37,21,5,0,89,79,37,21,5,5,8,18,63,79,95,97,5,16,63,79,95,100,11,21,63,79,95,95,22,9,4,12,3,2,10,6,2,58,24,11,63,16,11,53,32,11,24,32,16,14,32,37,26,50,47,53,26,21,32,45,58,32,25,12,13,66,63,68,23,13,10,61,68,53,6,1,5,16,5,26,26,32,21,53,37,68,21,32,11,4.21,4.05,4.37,2.05,2.37,1.74,84,68,61,50,26,21,13,5,1.23,1.30,1.15,1.31,1.15,1.47,61,2,2,5,6,6,5,3,6,5,2,3,3,6,6,6,7,3,17,37,26,47,39,42,37,5
Antalyaspor,Antalyaspor,2023/2024,Turkey,38,19,19,0,12,8,4,13,8,5,13,3,10,1.29,1.68,0.89,10,8,12,10,44,49,-5,93,40,53,22,22,18,31,4,-9,78,78,78,70,95,55,8,6,2,23,11,12,10,5,5,14,8,6,203,101,102,84,41,43,51,51,52,406,220,186,190,109,81,216,111,105,464,249,215,24,14,10,24,9,15,0,5,-5,12,8,4,12,6,6,14,5,9,1.26,1.58,0.95,2.45,2.11,2.79,1.16,1.16,1.16,1.29,0.95,1.63,1.26,1.21,1.32,0.63,0.74,0.53,0.63,0.47,0.79,35,29,17,7,4,1,16,14,7,2,1,0,19,15,10,5,3,1,3,9,21,31,34,37,3,5,12,17,18,19,0,4,9,14,16,18,92,76,45,18,11,3,84,74,37,11,5,0,100,79,53,26,16,5,8,24,55,82,89,97,16,26,63,89,95,100,0,21,47,74,84,95,30,14,4,14,6,3,16,8,1,79,37,11,74,32,16,84,42,5,32,42,21,13,21,32,11,61,58,63,26,26,26,37,42,32,18,11,7,47,58,37,20,9,11,53,47,58,8,4,4,21,21,21,32,42,21,32,32,32,37,26,47,5.34,5.32,5.37,2.21,2.16,2.26,84,79,76,68,57,45,26,13,1.34,1.46,1.23,1.40,1.33,1.47,53,5,7,3,7,5,3,5,3,6,4,5,2,5,9,5,5,5,9,34,42,26,34,16,53,8
İstanbul Başakşehir FK,İstanbul Başakşehir,2023/2024,Turkey,38,19,19,0,18,10,8,7,3,4,13,6,7,1.61,1.74,1.47,4,7,4,4,57,43,14,100,49,51,30,27,19,24,11,3,60,57,63,80,90,71,13,7,6,16,8,8,12,5,7,17,8,9,154,88,66,87,45,42,53,54,52,390,207,183,199,102,97,191,105,86,483,239,244,25,13,12,26,12,14,-1,1,-2,11,6,5,17,8,9,10,5,5,1.32,1.37,1.26,2.63,2.58,2.68,1.5,1.58,1.42,1.13,1,1.26,1.34,1.32,1.37,0.66,0.68,0.63,0.68,0.63,0.74,35,26,15,11,9,2,18,12,7,6,5,1,17,14,8,5,4,1,3,12,23,27,29,36,1,7,12,13,14,18,2,5,11,14,15,18,92,68,39,29,24,5,95,63,37,32,26,5,89,74,42,26,21,5,8,32,61,71,76,95,5,37,63,68,74,95,11,26,58,74,79,95,27,15,5,14,8,2,13,7,3,71,39,13,74,42,11,68,37,16,47,53,42,9,34,37,32,42,42,42,32,26,37,45,42,47,20,10,10,53,53,53,21,10,11,55,53,58,8,4,4,21,21,21,29,32,26,45,42,47,26,26,26,4.05,4.63,3.47,2.29,2.37,2.21,76,66,57,47,34,21,13,5,1.30,1.37,1.23,1.37,1.28,1.47,71,4,7,4,5,8,7,8,5,9,7,9,3,4,5,5,2,2,6,18,16,21,34,32,37,5
